city_eng|country_eng|iata_code|name_eng
Glennallen|United States|GLQ|Glennallen
Gaylord|United States|GLR|Otsego County
Galveston|United States|GLS|Scholes Field
Gladstone|Australia|GLT|Gladstone
Golovin|United States|GLV|Golovin
Glasgow|United States|GLW|Municipal
Galela|Indonesia|GLX|Galela
Goldsworthy|Australia|GLY|Goldsworthy
Breda|Netherlands|GLZ|Gilze-Rijen
Gemena|Democratic Republic Of Congo|GMA|Gemena
Gambela|Ethiopia|GMB|Gambela
Guerima|Colombia|GMC|Guerima
Gomel|Belarus|GME|Gomel
Gasmata Island|Papua New Guinea|GMI|Gasmata Island
Gamboma|Congo|GMM|Gamboma
Greymouth|New Zealand|GMN|Greymouth
Gambier Is|French Polynesia|GMR|Gambier Is
Guimaraes|Brazil|GMS|Guimaraes
Granite Mountain|United States|GMT|Granite Mountain
Greenville|United States|GMU|Greenville Downtown
Monument Valley Gldngs|Papua New Guinea|GMV|Monument Valley
Rheindahlen|Germany|GMY|Rheindahlen
San Sebas De La Gomera|Spain|GMZ|La Gomera
Grodna|Belarus|GNA|Grodna
Grenoble|France|GNB|Grenoble-isere Airport (St Geoirs)
St. Georges|Grenada|GND|Point Salines International
Ghent|Belgium|GNE|Ghent
Gooding|United States|GNG|Gooding
Green Island|Taiwan|GNI|Green Island
Guanambi|Brazil|GNM|Guanambi
Ghinnir|Ethiopia|GNN|Ghinnir
General Roca|Argentina|GNR|General Roca
Gunungsitoli|Indonesia|GNS|Binaka
Grants|United States|GNT|Milan
Goodnews Bay|United States|GNU|Goodnews Bay
Gainesville|United States|GNV|Gainesville Regional
Ghanzi|Botswana|GNZ|Ghanzi
Genova|Italy|GOA|Cristoforo Colombo
Goba|Ethiopia|GOB|Goba
Gora|Papua New Guinea|GOC|Gora
Gonalia|Papua New Guinea|GOE|Gonalia
San Angelo|Italy|GOF|Goodfellow AFB
Gobabis|Namibia|GOG|Gobabis
Nuuk|Greenland|GOH|Nuuk
Goa|India|GOI|Dabolim
Nizhniy Novgorod|Russian Federation|GOJ|Strigino
Guthrie|United States|GOK|Guthrie
Gold Beach|United States|GOL|State
Goma|Democratic Republic Of Congo|GOM|Goma
New London|United States|GON|New London
Goondiwindi|Australia|GOO|Goondiwindi
Gorakhpur|India|GOP|Gorakhpur
Golmud|China|GOQ|Golmud
Gore|Ethiopia|GOR|Gore
Gosford|Australia|GOS|Gosford
Gothenburg|Sweden|GOT|Landvetter
Garoua|Cameroon|GOU|Garoua
Gove|Australia|GOV|Nhulunbuy
Gal Oya|Sri Lanka|GOY|Amparai
Gorna Oriahovitsa|Bulgaria|GOZ|Gorna Oriahovitsa
Patras|Greece|GPA|Araxos Airport
Guarapuava|Brazil|GPB|Tancredo Thomaz Faria
Guapi|Colombia|GPI|Guapi
Guapiles|Costa Rica|GPL|Guapiles
Garden Point|Australia|GPN|Garden Point
General Pico|Argentina|GPO|General Pico
Galapagos Is|Ecuador|GPS|Baltra
Gulfport|United States|GPT|Gulfport-Biloxi International
Grand Rapids|United States|GPZ|Grand Rapids
Machrihanish|United Kingdom|GQJ|RAF Station
Galion|United States|GQQ|Galion
Gamarra|Colombia|GRA|Gamarra
Green Bay|United States|GRB|Austin-straubel Field
Grand Cess|Liberia|GRC|Grand Cess
Greenwood|United States|GRD|Greenwood
Greenville|United States|GRE|Municipal
Tacoma|United States|GRF|Gray Aaf
Gardez|Afghanistan|GRG|Gardez
Garuahi|Papua New Guinea|GRH|Garuahi
Grand Island, NE|United States|GRI|Grand Island
George|South Africa|GRJ|George
Fort Hood, TX|United States|GRK|Gray Aaf
Garasa|Papua New Guinea|GRL|Garasa
Grand Marais|United States|GRM|Devils Track
Gordon|United States|GRN|Gordon
Gerona|Spain|GRO|Girona-Costa Brava
Gurupi|Brazil|GRP|Gurupi
Groningen|Netherlands|GRQ|Eelde
Grand Rapids|United States|GRR|Kent County Intl
Grosseto|Italy|GRS|Baccarini
Gujrat|Pakistan|GRT|Gujrat
Sao Paulo|Brazil|GRU|Guarulhos Intl
Groznyj|Russian Federation|GRV|Groznyj
Graciosa Island|Portugal|GRW|Graciosa Island
Granada|Spain|GRX|Granada
Grimsey|Iceland|GRY|Grimsey
Graz|Austria|GRZ|Thalerhof
Long Pasia|Malaysia|GSA|Long Pasia
Goldsboro|United States|GSB|Seymour Johnson AFB
Gascoyne Junction|Australia|GSC|Gascoyne Junction
Gothenburg|Sweden|GSE|Gothenburg City Airport
Goshen|United States|GSH|Goshen
Guadalcanal|Solomon Islands|GSI|Guadalcanal
Taltheilei Narrows|Canada|GSL|Taltheilei Narrows
Gheshm|Iran|GSM|Gheshm
Mount Gunson|Australia|GSN|Mount Gunson
High Point|United States|GSO|Piedmont Triad Intl
Greenville|United States|GSP|Greenville Spartanbur Int&#039;l Airport
Shark Elowainat|Egypt|GSQ|Shark Elowainat
Gardo|Ethiopia|GSR|Gardo
Sabi Sabi|South Africa|GSS|Sabi Sabi
Gustavus|United States|GST|Gustavus Arpt
Gedaref|Sudan|GSU|Gedaref
Grimsby|United Kingdom|GSY|Binbrook
Gatokae|Solomon Islands|GTA|Gatokae Aerodrom
Genting|Malaysia|GTB|Genting
Green Turtle|Bahamas|GTC|Green Turtle
Groote Eylandt|Australia|GTE|Alyangula
Great Falls|United States|GTF|International
Grantsburg|United States|GTG|Municipal
Guettin|Germany|GTI|Guettin
Sungei Tekai|Malaysia|GTK|Sungei Tekai
Mount Cook|New Zealand|GTN|Glentanner
Gorontalo|Indonesia|GTO|Tolotio
Columbus|United States|GTR|Golden Triangle Reg.
Granites|Australia|GTS|Granites
Georgetown|Australia|GTT|Georgetown
Zlin|Czech Republic|GTW|Holesov
Gettysburg|United States|GTY|Gettysburg
Guatemala City|Guatemala|GUA|La Aurora
Guerrero Negro|Mexico|GUB|Guerrero Negro
Gunnison|United States|GUC|Gunnison
Goundam|Mali|GUD|Goundam
Guriaso|Papua New Guinea|GUE|Guriaso
Gulf Shores|United States|GUF|Edwards
Guari|Papua New Guinea|GUG|Guari
Gunnedah|Australia|GUH|Gunnedah
Guiria|Venezuela|GUI|Guiria
Guaratingueta|Brazil|GUJ|Guaratingueta
Goulburn|Australia|GUL|Goulburn
Montgomery|United Kingdom|GUN|Gunter AFB
Gualaco|Honduras|GUO|Gualaco
Gallup|United States|GUP|Senator Clark
Guanare|Venezuela|GUQ|Guanare
Alotau|Papua New Guinea|GUR|Gurney
Peru, Indiana|United States|GUS|Grissom Afb
Guetersloh|Germany|GUT|Guetersloh
Grundarfjordur|Iceland|GUU|Grundarfjordur
Mougulu|Papua New Guinea|GUV|Mougulu
Atyrau|Kazakhstan|GUW|Atyrau International
Guna|India|GUX|Guna
Guymon|United States|GUY|Guymon
Guarapari|Brazil|GUZ|Guarapari
Geneva|Switzerland|GVA|Geneve-cointrin
Gordonsville|United States|GVE|Municipal
Green River|Papua New Guinea|GVI|Green River
Gainesville|United States|GVL|Lee Gilmer Memorial
Greenvale|Australia|GVP|Greenvale
Governador Valadares|Brazil|GVR|Governador Valadares
Greenville|United States|GVT|Majors Field
Grandview|United States|GVW|Richards-Gebaur
Gavle|Sweden|GVX|Sandviken
Gwa|Myanmar|GWA|Gwa
Gwadar|Pakistan|GWD|Gwadar
Gweru|Zimbabwe|GWE|Gweru
Gwalior|India|GWL|Gwalior
Gnarowein|Papua New Guinea|GWN|Gnarowein
Greenwood|United States|GWO|Leflore
Glenwood Springs|United States|GWS|Glenwood Springs
Westerland|Germany|GWT|Westerland - Sylt
Glendale|Zimbabwe|GWV|Glendale
Berlin|Germany|GWW|Raf Gatow
Galway|Ireland|GWY|Carnmore
Seiyun|Yemen|GXF|Seiyun
Negage|Angola|GXG|Negage
Mildenhall|United Kingdom|GXH|NAF
Coyhaique|Chile|GXQ|Ten. Vidal
Yagoua|Cameroon|GXX|Yagoua
Greeley|United States|GXY|Weld County
Guayaramerin|Brazil|GYA|Guayaramerin
Baku|Azerbaijan|GYD|Heydar Aliyev
Guayaquil|Ecuador|GYE|Simon Bolivar
Gisenyi|Rwanda|GYI|Gisenyi
Argyle|Australia|GYL|Argyle
Guaymas|Mexico|GYM|Gen Jose M Yanez
Goiania|Brazil|GYN|Santa Genoveva
Gympie|Australia|GYP|Gympie
Goodyear|United States|GYR|Litchfield
Guang Yuan|China|GYS|Guang Yuan
Gary (IN)|United States|GYY|Gary/Chicago International
Ghazni|Afghanistan|GZI|Ghazni
Gozo|Malta|GZM|Gozo Heliport
Gizo|Solomon Islands|GZO|Gizo
Gaziantep|Turkey|GZT|Gaziantep
Ghazvin|Iran|GZW|Ghazvin
Hasvik|Norway|HAA|Hasvik
Hamilton|United States|HAB|Marion County
Hachijo Jima|Japan|HAC|Hachijo Jima
Halmstad|Sweden|HAD|Halmstad
Havasupai|United States|HAE|Havasupai
Half Moon|United States|HAF|Half Moon
Moroni|Comoros|HAH|Prince Said Ibrahim In
Three Rivers|Liberia|HAI|Dr Haines
Hanover|Germany|HAJ|Hanover Arpt
Haikou|China|HAK|Haikou
Halali|Namibia|HAL|Halali
Hamburg|Germany|HAM|Hamburg Airport
Hanoi|Vietnam|HAN|Noibai International
Hamilton|United States|HAO|Hamilton
Long Island|Papua New Guinea|HAP|Long Island
Hanimaadhoo|Maldives|HAQ|Hanimaadhoo
Harrisburg|United States|HAR|Capital City
Hail|Saudi Arabia|HAS|Hail
Heathlands|Australia|HAT|Heathlands
Haugesund|Norway|HAU|Haugesund
Havana|Cuba|HAV|Jose Marti Intl
Haverfordwest|United Kingdom|HAW|Haverfordwest
Muskogee|United States|HAX|Hatbox Field
Haycock|United States|HAY|Haycock
Hatzfeldthaven|Papua New Guinea|HAZ|Hatzfeldthaven
Hobart|Australia|HBA|Hobart
Hobbs|Australia|HBB|Industrial Airpark
Hanus Bay|United States|HBC|Hanus Bay
Habi|Saudi Arabia|HBD|Habi
Alexandria|Egypt|HBE|Borg El Arab
Hattiesburg|United States|HBG|The Hattiesburg-Bobby L. Chain Mun.
Hobart Bay|United States|HBH|Hobart Bay
Harbour Island|Bahamas|HBI|Harbour Island
Babelegi|South Africa|HBL|Babelegi Heliport
Phu-bon|Cambodia|HBN|Flamingo
Humboldt|United States|HBO|Municipal
Hobart, OK|United States|HBR|Hobart
Hafr Albatin|Saudi Arabia|HBT|Hafr Albatin
Hubli|India|HBX|Hubli
Big Spring|United States|HCA|Howard County
Shoal Cove|United States|HCB|Shoal Cove
Hudson|Kyrgyzstan|HCC|Columbia County
Eil|Somalia|HCM|Eil
Hengchun|China|HCN|Hengchun
Halls Creek|Australia|HCQ|Halls Creek
Holy Cross|United States|HCR|Holy Cross
Johannesburg|Namibia|HCS|Randburg Heliport
Cheraw|United States|HCW|Cheraw
Hidden Falls|United States|HDA|Hidden Falls
Heidelberg|Germany|HDB|Heidelberg
Hyderabad|Pakistan|HDD|Hyderabad
Holdrege|United States|HDE|Brewster Field
Heringsdorf|Germany|HDF|Heringsdorf
Oahu|United States|HDH|Dillingham Airfield
Hamadan|Iran|HDM|Hamadan
Hayden|United States|HDN|Yampa Valley
Havadarya|Romania|HDR|Havadarya
Hoedspruit|South Africa|HDS|Hoedspruit Airport
Hat Yai|Thailand|HDY|Hat Yai
Herat|Afghanistan|HEA|Herat
Henzada|Myanmar|HEB|Henzada
Herendeen|United States|HED|Herendeen
Helena|United States|HEE|Thompson-Robbins
Heho|Myanmar|HEH|Heho
Heide-Buesum|Germany|HEI|Heide-Buesum
Heihe|China|HEK|Heihe
Vantaa|Finland|HEL|Helsinki-Vantaa
Helsinki|Finland|HEM|Helsinki-malmi
Hendon|United Kingdom|HEN|Hendon
Haelogo|Papua New Guinea|HEO|Haelogo
Heraklion|Greece|HER|Nikos Kazantzakis Airport
Hermiston|United States|HES|State
Hohhot|China|HET|Hohhot
Huelva|Spain|HEV|Huelva
Athens|Greece|HEW|Hellinikon (Closed)
Santo Domingo|Dominican Republic|HEX|Santo Domingo Herrera
Ozark|Poland|HEY|Hanchey Army Heliport
Natchez|United States|HEZ|Hardy-Anders
Haifa|Israel|HFA|Haifa
Hartford|United States|HFD|Brainard
Hefei|China|HFE|Shanghai
Hoffman|United States|HFF|Mackall AAF
Hornafjordur|Iceland|HFN|Hornafjordur
Hagfors|Sweden|HFS|Hagfors
Hammerfest|Norway|HFT|Hammerfest
Hargeisa|Somalia|HGA|Hargeisa
Hughenden|Australia|HGD|Hughenden
Hangzhou|China|HGH|Hangzhou
Higlieg|Sudan|HGI|Higlieg
Helgoland|Germany|HGL|Helgoland
Mae Hong Son|Thailand|HGN|Mae Hong Son
Korhogo|Cote D&#039;Ivoire|HGO|Korhogo
Hagerstown|United States|HGR|Wash. County Regional
Freetown|Sierra Leone|HGS|Hastings
Jolon|United States|HGT|Hunter AAF
Mount Hagen|Papua New Guinea|HGU|Kagamuga
Hogatza|United States|HGZ|Hogatza
Changsha|China|HHA|Huanghua International
Hachinohe|Japan|HHE|Hachinohe
Hilton Head|United States|HHH|Hilton Head
Wahiawa|Mali|HHI|Wheeler AFB
Hahn|Germany|HHN|Frankfurt-Hahn
Hong Kong|Hong Kong|HHP|H K Heliport
Hua Hin|Thailand|HHQ|Hua Hin Airport
Hawthorne|United States|HHR|Hawthorne
Hikueru|French Polynesia|HHZ|Hikueru
Chisholm|United States|HIB|Chisholm
Pretoria|Ecuador|HIC|Iscor Heliport
Horn Island|Australia|HID|Horn Island
Whitefield|United States|HIE|Regional
Ogden|United States|HIF|Hill Afb
Highbury|Australia|HIG|Highbury
Hook Island|Australia|HIH|Hook Island
Lake Havasu City|United States|HII|Municipal
Hiroshima|Japan|HIJ|International
Honolulu|United States|HIK|Hickam AFB
Shillavo|Ethiopia|HIL|Shillavo
Hingurakgoda|Sri Lanka|HIM|Hingurakgoda
Jinju|Korea (South)|HIN|Sacheon
Hillsboro|United States|HIO|Portland
Headingly|Australia|HIP|Headingly
Honiara|Solomon Islands|HIR|Henderson Intl
Hayman Island|Australia|HIS|Hayman Island
Hivaro|Uzbekistan|HIT|Hivaro
Hiroshima|Japan|HIW|Hiroshima West
Hiva Oa|French Polynesia|HIX|Hiva Oa
Zhi Jiang|China|HJJ|Zhi Jiang
Khajuraho|India|HJR|Khajuraho
Khujirt|Mongolia|HJT|Khujirt
Blytheville|United States|HKA|Municipal
Healy Lake|United States|HKB|Healy Lake
Hakodate|Japan|HKD|Hakodate
Hong Kong|Hong Kong|HKG|Hong Kong International
Hokitika|New Zealand|HKK|Hokitika Arpt
Hoskins|Papua New Guinea|HKN|Hoskins
Jackson|United States|HKS|Hawkins Field
Phuket|Thailand|HKT|Phuket International
Haskovo|Bulgaria|HKV|Haskovo
Hickory|United States|HKY|Hickory
Lanseria|South Africa|HLA|Lanseria
Batesville|United States|HLB|Hillenbrand
Hill City|United States|HLC|Hill City
Hailar|China|HLD|Hailar
Hultsfred|Sweden|HLF|Hultsfred - Vimmerby
Wheeling|United States|HLG|Ohio County
Ulanhot|China|HLH|Ulanhot
Hollister|United States|HLI|Hollister
Hillside|Australia|HLL|Hillside
Holland|United States|HLM|Park Township
Helena|United States|HLN|Helena
Jakarta|Indonesia|HLP|Halim Perdana Kusuma
Killeen|United States|HLR|Fort Hood AAF
St Helens|Australia|HLS|St Helens
Hamilton|Australia|HLT|Hamilton
Houailou|New Caledonia|HLU|Houailou
Helenvale|Australia|HLV|Helenvale
Hluhluwe|South Africa|HLW|Hluhluwe
Holyhead|United Kingdom|HLY|Anglesey Airport
Hamilton|New Zealand|HLZ|Hamilton
Khanty-mansiysk|Russian Federation|HMA|Khanty-Mansiysk
Hassi Messaoud|Algeria|HME|Oued Irara Apt
Hermannsburg|Australia|HMG|Hermannsburg
Hami|China|HMI|Hami
Khmelnitskiy|Ukraine|HMJ|Khmelnitskiy
Alamogordo|United States|HMN|Holloman AFB
Hermosillo|Mexico|HMO|Gen Pesqueira Garcia
Hamar|Norway|HMR|Hamar Arpt
Homeshore AK|United States|HMS|Homeshore
Hemet|United States|HMT|Ryan Field
Hemavan|Sweden|HMV|Hemavan
Hanamaki|Japan|HNA|Hanamaki
Huntingburg|United States|HNB|Municipal
Hatteras|United States|HNC|Hatteras
Tokyo|Japan|HND|Haneda
Tahneta Pass Lodge|Iran|HNE|Tahneta Pass
Hienghene|New Caledonia|HNG|Hienghene
Hoonah|United States|HNH|Hoonah
Heiweni|Papua New Guinea|HNI|Heiweni
Hinchinbrook Island|Australia|HNK|Hinchinbrook Island
Honolulu|United States|HNL|Honolulu International
Hana|United States|HNM|Hana
Honinabi|Papua New Guinea|HNN|Honinabi
Hercegnovi|Montenegro|HNO|Hercegnovi
Haines|United States|HNS|Municipal
Hanna|Canada|HNX|Hanna
Hengyang|China|HNY|Hengyang
Hola|Kenya|HOA|Hola
Hobbs|United States|HOB|Lea County
Komako|Papua New Guinea|HOC|Komako
Hodeidah|Yemen|HOD|Hodeidah Arpt
Houeisay|Laos|HOE|Houeisay
Alahsa|Saudi Arabia|HOF|Alahsa
Holguin|Cuba|HOG|Frank Pais
Hohenems|Austria|HOH|Hohenems
Hao Island|French Polynesia|HOI|Hao Island
Hooker Creek|Australia|HOK|Hooker Creek
Holikachu|United States|HOL|Holikachu
Homer|United States|HOM|Homer
Huron|United States|HON|Howes
Quanduc|Vietnam|HOO|Nhon Co
Hopkinsville|United States|HOP|Campbell AAF
Hof|Germany|HOQ|Hof
Horta|Portugal|HOR|Horta
Chos Malal|Afghanistan|HOS|Oscar Reguera
Hot Springs|United States|HOT|Memorial Field
Houston, TX|United States|HOU|William P Hobby
Orsta-Volda|Norway|HOV|Hovden
Fort Kobbe|Panama|HOW|Howard Afb
Homalin|Myanmar|HOX|Homalin
Hoy Island|United Kingdom|HOY|Hoy Island
Hooper Bay|United States|HPB|Hooper Bay
Hope Vale|Australia|HPE|Hope Vale
Haiphong|Vietnam|HPH|Catbi
White Plains|United States|HPN|Westchester County Apt
Poipet|Cambodia|HPP|Poipet
Pretoria|Ecuador|HPR|Central Hpr
Hampton|United States|HPT|Municipal
Kauai Island|United States|HPV|Princeville
Baytown|United States|HPY|Baytown
Hoquiam|United States|HQM|Bowerman
Mansehra|Pakistan|HRA|Mansehra
Harbin|China|HRB|Harbin
Zhairem|Kazakhstan|HRC|Zhairem
Harare|Zimbabwe|HRE|Harare
Hurghada|Egypt|HRG|Hurghada
Chaurjhari|Nepal|HRJ|Chaurjhari
Kharkov|Ukraine|HRK|Kharkov
Harlingen|United States|HRL|Valley International
Heron Island|Australia|HRN|Heliport
Harrison|United States|HRO|Boone County
Herrera|Colombia|HRR|Herrera
Harrismith|South Africa|HRS|Harrismith Airport
Harrogate|United Kingdom|HRT|Linton-On-Ouse
Henbury|Australia|HRY|Henbury
Horizontina|Brazil|HRZ|Horizontina
Harrisburg|United States|HSB|Raleigh
Shaoguan|China|HSC|Shaoguan
Saga|Japan|HSG|Saga
Las Vegas|United States|HSH|Henderson Sky Harbor
Hastings|United States|HSI|Hastings
Huesca|Spain|HSK|Huesca
Huslia|United States|HSL|Huslia
Horsham|Australia|HSM|Horsham
Zhoushan|China|HSN|Zhoushan
Hot Springs|United States|HSP|Ingalls Field
Hissar|India|HSS|Hissar
Homestead|United States|HST|AFB
Huntsville|United States|HSV|Huntsville International - Carl T. Jones Field Airport
Hsinchu|Taiwan|HSZ|Hsinchu
Chita|Russian Federation|HTA|Chita
Terre-de-Bas|Guadeloupe|HTB|Terre-de-Bas
Hatfield|United Kingdom|HTF|Hatfield
Hatanga|Russian Federation|HTG|Hatanga
Hawthorne|United States|HTH|Hawthorne
Hamilton Island|Australia|HTI|Hamilton Island
Houghton|United Kingdom|HTL|Roscommon County
Khatgal|Mongolia|HTM|Khatgal
Hotan|China|HTN|Hotan
East Hampton|United States|HTO|East Hampton
Hateruma|Japan|HTR|Hateruma
Huntington|United States|HTS|Tri-State/Milton
Hopetoun|Australia|HTU|Hopetoun
Chesapeake/Huntington Wv|Canada|HTW|Lawrence County Airpark
Hato Corozal|Colombia|HTZ|Hato Corozal
Huntsville|United States|HUA|Redstone AAF
Humbert River|Australia|HUB|Humbert River
Humacao|Puerto Rico|HUC|Humacao Arpt
Humboldt|United States|HUD|Humboldt
Humera|Ethiopia|HUE|Humera
Terre Haute|United States|HUF|Hulman Field
Huehuetenango|Guatemala|HUG|Huehuetenango
Huahine|French Polynesia|HUH|Huahine
